iter	Passed	Remaining
663	3507	1774
664	3512	1769
665	3517	1764
666	3522	1758
667	3527	1753
668	3532	1747
669	3537	1742
670	3543	1737
671	3548	1731
672	3553	1726
673	3558	1721
674	3563	1715
675	3568	1710
676	3573	1704
677	3578	1699
678	3583	1694
679	3589	1688
680	3594	1683
681	3599	1678
682	3604	1672
683	3609	1667
684	3614	1662
685	3619	1656
686	3625	1651
687	3630	1646
688	3635	1640
689	3640	1635
690	3645	1630
691	3650	1624
692	3656	1619
693	3661	1614
694	3666	1608
695	3671	1603
696	3679	1599
697	3686	1595
698	3694	1590
699	3703	1587
700	3710	1582
701	3717	1577
702	3723	1572
703	3729	1568
704	3735	1563
705	3741	1558
706	3747	1553
707	3753	1548
708	3759	1543
709	3765	1537
710	3771	1532
711	3777	1528
712	3783	1522
713	3789	1518
714	3795	1512
715	3802	1508
716	3809	1503
717	3817	1499
718	3824	1494
719	3831	1489
720	3837	1484
721	3843	1479
722	3850	1475
723	3857	1470
724	3864	1465
725	3873	1461
726	3879	1456
727	3887	1452
728	3894	1447
729	3901	1442
730	3908	1438
731	3915	1433
732	3923	1428
733	3930	1424
734	3939	1420
735	3946	1415
736	3955	1411
737	3984	1414
738	4002	1413
739	4011	1409
740	4017	1404
741	4023	1398
742	4028	1393
743	4034	1388
744	4040	1382
745	4046	1377
746	4055	1373
747	4063	1369
748	4070	1363
749	4076	1358
750	4082	1353
751	4089	1348
752	4095	1343
753	4103	1338
754	4110	1333
755	4117	1328
756	4124	1323
757	4132	1319
758	4139	1314
759	4149	1310
760	4170	1309
761	4178	1305
762	4184	1299
763	4190	1294
764	4196	1289
765	4202	1283
766	4208	1278
767	4215	1273
768	4220	1267
769	4227	1262
770	4233	1257
771	4241	1252
772	4252	1248
773	4258	1243
774	4264	1238
775	4271	1233
776	4278	1227
777	4283	1222
778	4289	1216
779	4294	1211
780	4300	1205
781	4306	1200
782	4311	1195
783	4317	1189
784	4334	1187
785	4343	1182
786	4354	1178
787	4363	1173
788	4373	1169
789	4381	1164
790	4387	1159
791	4394	1154
792	4399	1148
793	4407	1143
794	4417	1139
795	4423	1133
796	4429	1128
797	4435	1122
798	4440	1117
799	4445	1111
800	4451	1105
801	4456	1100
802	4462	1094
803	4467	1089
804	4473	1083
805	4478	1077
806	4483	1072
807	4489	1066
808	4494	1061
809	4499	1055
810	4504	1049
811	4509	1044
812	4514	1038
813	4520	1032
814	4526	1027
815	4531	1021
816	4536	1016
817	4542	1010
818	4547	1005
819	4553	999
820	4559	994
821	4564	988
822	4570	982
823	4575	977
824	4580	971
825	4586	966
826	4591	960
827	4597	955
828	4603	949
829	4608	943
830	4614	938
831	4619	932
832	4625	927
833	4630	921
834	4635	915
835	4640	910
836	4646	904
837	4651	899
838	4657	893
839	4662	888
840	4668	882
841	4673	876
842	4678	871
843	4683	865
844	4688	860
845	4693	854
846	4698	848
847	4703	843
848	4708	837
849	4714	831
850	4719	826
851	4724	820
852	4729	815
853	4734	809
854	4739	803
855	4745	798
856	4750	792
857	4755	787
858	4760	781
859	4766	775
860	4771	770
861	4777	764
862	4783	759
863	4788	753
864	4794	748
865	4799	742
866	4805	737
867	4810	731
868	4815	725
869	4820	720
870	4826	714
871	4830	709
872	4836	703
873	4841	697
874	4846	692
875	4852	686
876	4857	681
877	4862	675
878	4868	670
879	4873	664
880	4879	659
881	4884	653
882	4890	647
883	4895	642
884	4901	636
885	4906	631
886	4911	625
887	4917	620
888	4923	614
889	4928	609
890	4934	603
891	4940	598
892	4946	592
893	4951	587
894	4957	581
895	4965	576
896	4971	570
897	4976	565
898	4982	559
899	4988	554
900	4994	548
901	4999	543
902	5005	537
903	5011	532
904	5016	526
905	5021	521
906	5027	515
907	5032	509
908	5037	504
909	5042	498
910	5048	493
911	5053	487
912	5059	482
913	5065	476
914	5071	471
915	5076	465
916	5082	459
917	5088	454
918	5094	448
919	5100	443
920	5106	438
921	5111	432
922	5116	426
923	5122	421
924	5127	415
925	5133	410
926	5138	404
927	5143	399
928	5150	393
929	5155	388
930	5160	382
931	5166	376
932	5171	371
933	5177	365
934	5182	360
935	5187	354
936	5193	349
937	5199	343
938	5205	338
939	5210	332
940	5215	327
941	5221	321
942	5227	315
943	5232	310
944	5238	304
945	5244	299
946	5249	293
947	5254	288
948	5259	282
949	5265	277
950	5270	271
951	5275	266
952	5281	260
953	5286	254
954	5291	249
955	5296	243
956	5301	238
957	5307	232
958	5312	227
959	5318	221
960	5323	216
961	5328	210
962	5333	204
963	5339	199
964	5345	193
965	5350	188
966	5356	182
967	5361	177
968	5367	171
969	5373	166
970	5378	160
971	5383	155
972	5388	149
973	5393	143
974	5399	138
975	5404	132
976	5410	127
977	5415	121
978	5420	116
979	5425	110
980	5431	105
981	5436	99
982	5441	94
983	5446	88
984	5451	83
985	5457	77
986	5462	71
987	5467	66
988	5473	60
989	5478	55
990	5483	49
991	5488	44
992	5493	38
993	5499	33
994	5504	27
995	5509	22
996	5515	16
997	5520	11
998	5525	5
999	5530	0
